Matrix_Size,Algorithm,Avg_Time_s,Min_Time_s,Max_Time_s,Std_Time_s,Speedup_vs_NumPy,NumPy_Time_s
160,LongNums STRASSEN,0.002950270970662435,0.0028200149536132812,0.0030188560485839844,0.0001128579807188997,0.011529240632491985,3.4014383951822914e-05
160,LongNums WINOGRAD,0.003094752629597982,0.0029420852661132812,0.003359079360961914,0.0002298301103229293,0.010990986363986542,3.4014383951822914e-05
160,LongNums ALPHA_TENSOR,0.0030590693155924478,0.002959012985229492,0.0031850337982177734,0.00011521621518349101,0.011119193598669853,3.4014383951822914e-05
160,LongNums AUTO,0.003033240636189779,0.0028810501098632812,0.003239870071411133,0.00018550104393923853,0.011213875861346189,3.4014383951822914e-05
190,NumPy matmul,7.232030232747395e-05,5.91278076171875e-05,8.702278137207031e-05,1.4008655528415145e-05,1.0,7.232030232747395e-05
190,LongNums NAIVE,0.005493720372517903,0.005258083343505859,0.005765199661254883,0.00025545105327337054,0.013164176081704688,7.232030232747395e-05
190,LongNums NAIVE_TRANSPOSED,0.004448095957438151,0.00439000129699707,0.004560232162475586,9.713394513331023e-05,0.016258710023226725,7.232030232747395e-05
190,LongNums SIMD_NAIVE,0.0055522918701171875,0.005391836166381836,0.005757808685302734,0.00018710117309940103,0.013025306309401121,7.232030232747395e-05
190,LongNums ARM_NEON,0.0027639071146647134,0.002634763717651367,0.0030128955841064453,0.00021568045378806113,0.026165966990626257,7.232030232747395e-05
190,LongNums STRASSEN,0.004535675048828125,0.004221916198730469,0.005098104476928711,0.00048816418035967514,0.015944771516680684,7.232030232747395e-05
190,LongNums WINOGRAD,0.004443248112996419,0.004349946975708008,0.004590034484863281,0.00012867014320163704,0.016276449229998748,7.232030232747395e-05
190,LongNums ALPHA_TENSOR,0.005013624827067058,0.0049169063568115234,0.0051310062408447266,0.00010853528464055814,0.01442475351108011,7.232030232747395e-05
190,LongNums AUTO,0.004282633463541667,0.004197835922241211,0.00442194938659668,0.00012159729309571092,0.016886876484560567,7.232030232747395e-05
220,NumPy matmul,0.00011165936787923177,7.891654968261719e-05,0.00014090538024902344,3.114200566743466e-05,1.0,0.00011165936787923177
220,LongNums NAIVE,0.009458382924397787,0.009207963943481445,0.00963902473449707,0.0002238414429080966,0.011805333826272538,0.00011165936787923177
220,LongNums NAIVE_TRANSPOSED,0.007017453511555989,0.006948232650756836,0.007074117660522461,6.38749730329465e-05,0.01591166477916195,0.00011165936787923177
220,LongNums SIMD_NAIVE,0.00916910171508789,0.009002923965454102,0.009441137313842773,0.00023751241618473563,0.01217778702307279,0.00011165936787923177
220,LongNums ARM_NEON,0.0043370723724365234,0.004315853118896484,0.004359006881713867,2.158577087810494e-05,0.025745331940703275,0.00011165936787923177
220,LongNums STRASSEN,0.006136099497477214,0.005807161331176758,0.006627082824707031,0.0004333148849551509,0.01819712472477658,0.00011165936787923177
220,LongNums WINOGRAD,0.006125211715698242,0.0058748722076416016,0.0063838958740234375,0.000254614410678736,0.018229470761485865,0.00011165936787923177
220,LongNums ALPHA_TENSOR,0.007260958353678386,0.007165193557739258,0.0073223114013671875,8.402160739836793e-05,0.015378048246574141,0.00011165936787923177
220,LongNums AUTO,0.005864381790161133,0.005765199661254883,0.005959033966064453,9.699651945255003e-05,0.019040262362618746,0.00011165936787923177
250,NumPy matmul,0.0001499652862548828,0.00011491775512695312,0.0001800060272216797,3.2831718685708525e-05,1.0,0.0001499652862548828
250,LongNums NAIVE,0.014082034428914389,0.01402902603149414,0.014135122299194336,5.304817849775286e-05,0.010649404886197535,0.0001499652862548828
250,LongNums NAIVE_TRANSPOSED,0.010355075200398764,0.01031494140625,0.010420083999633789,5.6813868416069056e-05,0.014482298134262491,0.0001499652862548828
250,LongNums SIMD_NAIVE,0.014087438583374023,0.013905048370361328,0.014237165451049805,0.0001684506141802632,0.01064531961345135,0.0001499652862548828
250,LongNums ARM_NEON,0.006448427836100261,0.0062792301177978516,0.0066339969635009766,0.0001779491387431654,0.02325610056692137,0.0001499652862548828
250,LongNums STRASSEN,0.008270740509033203,0.008130073547363281,0.008440256118774414,0.0001570907071518282,0.018132026520611126,0.0001499652862548828
250,LongNums WINOGRAD,0.008219321568806967,0.00806117057800293,0.008430957794189453,0.0001906073163658168,0.018245457973564874,0.0001499652862548828
250,LongNums ALPHA_TENSOR,0.01165612538655599,0.011490106582641602,0.0118560791015625,0.00018533120297038362,0.012865792129162461,0.0001499652862548828
250,LongNums AUTO,0.008151054382324219,0.007908105850219727,0.008352041244506836,0.00022492275314468988,0.0183982683982684,0.0001499652862548828
280,NumPy matmul,0.00019741058349609375,0.0001442432403564453,0.00022983551025390625,4.6413306761833306e-05,1.0,0.00019741058349609375
280,LongNums NAIVE,0.02048913637797038,0.020266056060791016,0.02073216438293457,0.000233693548646172,0.009634890405061032,0.00019741058349609375
280,LongNums NAIVE_TRANSPOSED,0.01444538434346517,0.014326095581054688,0.014608144760131836,0.00014596326043683148,0.013665997304211482,0.00019741058349609375
280,LongNums SIMD_NAIVE,0.020125945409138996,0.019628047943115234,0.020506858825683594,0.0004509335790385905,0.009808760755479914,0.00019741058349609375
280,LongNums ARM_NEON,0.009223381678263346,0.009135961532592773,0.009307146072387695,8.565080300689298e-05,0.021403275976459843,0.00019741058349609375
280,LongNums STRASSEN,0.01776544253031413,0.017604827880859375,0.01788020133972168,0.000143299351049728,0.011112055506596104,0.00019741058349609375
280,LongNums WINOGRAD,0.01742267608642578,0.01727294921875,0.017660140991210938,0.0002079731702220629,0.011330669440035033,0.00019741058349609375
280,LongNums ALPHA_TENSOR,0.02251887321472168,0.022310256958007812,0.02271723747253418,0.00020368385407818133,0.008766450328741888,0.00019741058349609375
280,LongNums AUTO,0.017609437306722004,0.017312049865722656,0.017954111099243164,0.00032363197644493067,0.0112104992372889,0.00019741058349609375
310,NumPy matmul,0.0002353191375732422,0.00018787384033203125,0.00027298927307128906,4.339152639544435e-05,1.0,0.0002353191375732422
310,LongNums NAIVE,0.029459714889526367,0.027901887893676758,0.031456947326660156,0.001817806301392882,0.00798782807151008,0.0002353191375732422
310,LongNums NAIVE_TRANSPOSED,0.021362940470377605,0.02066802978515625,0.022738933563232422,0.0011916650322147525,0.011015297163774886,0.0002353191375732422
310,LongNums SIMD_NAIVE,0.02986629803975423,0.029027938842773438,0.031033992767333984,0.0010427892912028614,0.007879086228230067,0.0002353191375732422
310,LongNums ARM_NEON,0.0704796314239502,0.013860940933227539,0.16474318504333496,0.08218402939079641,0.003338824747220183,0.0002353191375732422
310,LongNums STRASSEN,0.03711660703023275,0.023527860641479492,0.06351590156555176,0.022865770533658583,0.006339995931782414,0.0002353191375732422
310,LongNums WINOGRAD,0.021734317143758137,0.021414995193481445,0.022372007369995117,0.0005522561415252008,0.010827077566631687,0.0002353191375732422
310,LongNums ALPHA_TENSOR,0.028078079223632812,0.027685165405273438,0.0284731388092041,0.00039399108437021156,0.008380884450784594,0.0002353191375732422
310,LongNums AUTO,0.022371689478556316,0.02184295654296875,0.02326822280883789,0.0007805791631275737,0.01051861272251253,0.0002353191375732422
340,NumPy matmul,0.0003147125244140625,0.00023984909057617188,0.00039696693420410156,7.881924949348711e-05,1.0,0.0003147125244140625
340,LongNums NAIVE,0.03824480374654134,0.03796219825744629,0.038657188415527344,0.0003652188475520645,0.008228896309672485,0.0003147125244140625
340,LongNums NAIVE_TRANSPOSED,0.025127331415812176,0.024466991424560547,0.025825977325439453,0.0006803022690200765,0.012524709417253104,0.0003147125244140625
340,LongNums SIMD_NAIVE,0.03788606325785319,0.0377202033996582,0.0382080078125,0.0002788549993219161,0.008306815154483688,0.0003147125244140625
340,LongNums ARM_NEON,0.01654926935831706,0.01644587516784668,0.016607999801635742,8.981779863998093e-05,0.01901670204285481,0.0003147125244140625
340,LongNums STRASSEN,0.027711232503255207,0.027538061141967773,0.028015851974487305,0.00026463177079849,0.011356857706603038,0.0003147125244140625
340,LongNums WINOGRAD,0.026238759358723957,0.025716066360473633,0.02677297592163086,0.0005285490038995306,0.011994184637751393,0.0003147125244140625
340,LongNums ALPHA_TENSOR,0.03653526306152344,0.03540992736816406,0.038604021072387695,0.0017939043730686914,0.008613938919342208,0.0003147125244140625
340,LongNums AUTO,0.027443567911783855,0.027200937271118164,0.02778172492980957,0.0003019479138869963,0.011467624232595853,0.0003147125244140625
370,NumPy matmul,0.00037399927775065106,0.00030517578125,0.0004210472106933594,6.092764903154687e-05,1.0,0.00037399927775065106
370,LongNums NAIVE,0.050852696100870766,0.04965710639953613,0.051981210708618164,0.0011635031203259488,0.007354561437780818,0.00037399927775065106
370,LongNums NAIVE_TRANSPOSED,0.031546592712402344,0.031198978424072266,0.031935930252075195,0.00037024332738912945,0.011855457137962655,0.00037399927775065106
370,LongNums SIMD_NAIVE,0.0497442881266276,0.04943990707397461,0.05015921592712402,0.00037217837678840183,0.007518436625298757,0.00037399927775065106
370,LongNums ARM_NEON,0.021411021550496418,0.021278858184814453,0.021572113037109375,0.0001487522411060673,0.017467605497878725,0.00037399927775065106
370,LongNums STRASSEN,0.031531174977620445,0.030193805694580078,0.033418893814086914,0.0016815058185636086,0.011861254076833503,0.00037399927775065106
370,LongNums WINOGRAD,0.03020366032918294,0.029668807983398438,0.030699968338012695,0.0005166596255423019,0.012382581239310618,0.00037399927775065106
370,LongNums ALPHA_TENSOR,0.039554595947265625,0.03892183303833008,0.03995800018310547,0.0005548555115263455,0.00945526730317935,0.00037399927775065106
370,LongNums AUTO,0.03064425786336263,0.03008890151977539,0.03148913383483887,0.0007436590920823488,0.01220454675124613,0.00037399927775065106
400,NumPy matmul,0.0004563331604003906,0.0003478527069091797,0.0005490779876708984,0.00010153132942016663,1.0,0.0004563331604003906
400,LongNums NAIVE,0.06378261248270671,0.06332874298095703,0.06445813179016113,0.0005964279066790726,0.007154507202478035,0.0004563331604003906
400,LongNums NAIVE_TRANSPOSED,0.04030283292134603,0.03952789306640625,0.04099869728088379,0.00073858375273968,0.01132260755195444,0.0004563331604003906
400,LongNums SIMD_NAIVE,0.0742639700571696,0.06703782081604004,0.08216190338134766,0.007584387829695845,0.006144745023045468,0.0004563331604003906
400,LongNums ARM_NEON,0.03135824203491211,0.03039383888244629,0.03224015235900879,0.0009259169312002733,0.014552255827745084,0.0004563331604003906
400,LongNums STRASSEN,0.10244663556416829,0.03754401206970215,0.20319294929504395,0.0884503826916202,0.004454349895312693,0.0004563331604003906
400,LongNums WINOGRAD,0.039853572845458984,0.03874802589416504,0.04193687438964844,0.0018053231607479251,0.01145024467868723,0.0004563331604003906
400,LongNums ALPHA_TENSOR,0.05098477999369303,0.048254966735839844,0.05478405952453613,0.0033933879446135635,0.008950380102784407,0.0004563331604003906
400,LongNums AUTO,0.03577232360839844,0.03534889221191406,0.036180973052978516,0.0004162373254445205,0.012756598240469208,0.0004563331604003906
430,NumPy matmul,0.0008545716603597006,0.0007586479187011719,0.0010089874267578125,0.00013503131133967496,1.0,0.0008545716603597006
430,LongNums NAIVE,0.08370471000671387,0.07979416847229004,0.09113597869873047,0.00643861822069034,0.010209361698895513,0.0008545716603597006
